"","out_B14.5.fq.gz.bam","out_B15.5.fq.gz.bam","out_B17.5.fq.gz.bam","out_B20.fq.gz.bam","out_B34.fq.gz.bam","out_C14.5.fq.gz.bam","out_C15.5.fq.gz.bam","out_C17.5.fq.gz.bam","out_C20.fq.gz.bam","out_C34.fq.gz.bam"
"MSTRG.1",0,0,0,1,0,0,0,0,1,0
"MSTRG.2",12,10,28,15,15,11,13,18,18,6
"MSTRG.3",0,0,0,0,0,0,0,0,0,0
"MSTRG.4",0,0,0,0,0,0,0,0,0,0
"MSTRG.5",0,0,0,0,0,0,0,0,0,0
"MSTRG.6",0,0,0,0,0,0,0,0,0,0
"MSTRG.7",0,0,0,0,0,0,0,0,0,0
"MSTRG.8",2,3,23,13,39,0,4,3,5,6
"MSTRG.9",21,13,43,26,25,23,24,37,20,19
"MSTRG.10",14,20,25,23,17,13,15,7,16,5
"MSTRG.11",13,17,11,14,9,13,12,9,14,17
"MSTRG.12",240,237,209,194,169,215,198,213,219,197
"MSTRG.13",392,316,265,310,263,285,355,400,296,289
"MSTRG.14",477,410,512,573,509,497,524,316,729,444
"MSTRG.15",6,4,12,6,15,2,9,4,3,2
"MSTRG.16",2,4,9,10,3,5,9,13,8,3
"MSTRG.17",11,25,14,33,38,8,12,68,55,12
"MSTRG.18",2856,2322,2266,1986,1458,2484,1964,1386,1765,1803
"MSTRG.19",108,116,101,100,73,91,104,40,67,134
"MSTRG.20",0,0,0,0,0,0,0,0,0,0
"MSTRG.21",0,0,0,0,1,2,0,0,0,1
"MSTRG.22",0,0,0,0,0,0,0,0,0,0
"MSTRG.23",486,435,430,265,181,290,306,187,288,126
"MSTRG.24",2,3,2,2,1,2,0,0,2,1
"MSTRG.25",35,35,23,25,21,26,10,17,10,23
"MSTRG.26",381,423,519,436,609,299,370,457,380,270
"MSTRG.27",9,7,11,8,3,13,8,13,5,1
"MSTRG.28",1,0,0,0,0,0,0,2,0,0
"MSTRG.29",0,0,0,0,0,0,0,0,0,0
"MSTRG.30",8,3,7,5,2,16,6,3,4,2
"MSTRG.31",14,26,10,20,9,3,19,15,7,16
"MSTRG.32",2102,2005,1751,1743,998,2609,1882,1025,1426,1255
"MSTRG.33",1,3,1,1,1,1,0,0,0,0
"MSTRG.34",209,199,283,243,165,197,172,248,199,79
"MSTRG.35",0,0,6,5,5,9,2,5,6,22
"MSTRG.36",1308,1417,1523,1722,1779,1382,1483,1083,1437,2258
"MSTRG.37",0,0,0,0,0,0,0,0,0,0
"MSTRG.38",166,173,205,192,206,160,211,171,212,244
"MSTRG.39",446,477,426,491,753,436,469,676,628,794
"MSTRG.40",18,12,16,27,45,15,22,17,35,66
"MSTRG.41",55,93,91,88,132,69,86,74,138,94
"MSTRG.42",2,6,11,17,35,1,1,21,19,8
"MSTRG.43",13,15,14,11,23,6,16,8,23,32
"MSTRG.44",3,7,5,7,7,5,3,10,5,8
"MSTRG.45",482,612,574,483,143,441,428,522,365,240
"MSTRG.46",0,0,0,0,0,0,0,0,0,0
"MSTRG.47",1161,1102,955,1068,1235,1042,1092,1373,1266,2020
"MSTRG.48",1459,2712,2503,2936,3942,1754,2807,4600,3290,4218
"MSTRG.49",7,14,10,15,24,19,22,9,9,21
"MSTRG.50",72,112,102,93,56,112,118,67,94,104
"MSTRG.51",36,42,29,37,30,124,56,23,40,48
"MSTRG.52",0,0,0,0,0,1,0,2,0,27
"MSTRG.53",165,214,178,176,146,136,237,268,179,267
"MSTRG.54",638,1084,1331,1929,2913,1037,1628,2767,2827,4318
"MSTRG.55",324,330,339,291,379,380,351,482,339,627
"MSTRG.56",348,310,225,224,269,168,259,255,292,256
"MSTRG.57",13,13,23,19,13,24,18,27,16,49
"MSTRG.58",3,2,3,1,0,1,5,3,0,2
"MSTRG.59",1131,1117,1117,1079,907,952,1009,1085,974,988
"MSTRG.60",598,685,727,644,563,634,742,781,664,725
"MSTRG.61",67,45,73,90,120,65,104,116,141,341
"MSTRG.62",6,2,2,8,13,4,4,4,9,46
"MSTRG.63",2025,1829,1706,1655,1846,1946,1805,2301,1789,1478
"MSTRG.64",0,1,0,2,0,0,0,0,0,0
"MSTRG.65",266,216,190,174,111,183,210,240,223,181
"MSTRG.66",103,104,119,113,104,80,124,109,156,108
"MSTRG.67",0,0,0,0,0,0,0,0,0,0
"MSTRG.68",649,1069,1282,1429,1603,1410,1815,2523,2588,1924
"MSTRG.69",12,20,24,18,30,21,33,23,23,31
"MSTRG.70",5,1,10,8,16,7,8,4,13,9
"MSTRG.71",1392,1666,1773,2031,2205,1525,1806,2457,2393,3123
"MSTRG.72",13,9,7,5,4,11,8,8,15,10
"MSTRG.73",2393,2279,2365,2058,1797,2231,1937,1620,1996,1902
"MSTRG.74",35,19,23,17,13,18,22,12,14,26
"MSTRG.75",3,0,3,1,4,3,5,2,1,22
"MSTRG.76",15,22,35,31,171,18,54,37,78,518
